compound,subset,sentence_type,sentence,expected_order,image1_name,image1_caption,image2_name,image2_caption,image3_name,image3_caption,image4_name,image4_caption,image5_name,image5_caption
elbow grease,Train,idiomatic,It took a lot of elbow grease to get the old engine running again.,"['35234427395.png', '53378381715.png', '39938261459.png', '74852536462.png', '54879908369.png']",35234427395.png,"The image depicts a hand holding a sponge and cleaning a glass cooktop stove. The cooktop is black with three circular burners, and there are some food residue stains on it. The sponge appears to be scrubbing off the stains, indicating that the person is cleaning the cooktop. The background is plain white, focusing attention on the cleaning activity.",39938261459.png,"The image depicts a hand wearing a yellow work glove holding a rusty metal pipe. The pipe is being dipped into a can of orange-colored paint. The paint is dripping from the pipe, indicating that it is being applied to the pipe's surface. The background is white, which makes the colors and objects stand out clearly.",53378381715.png,"The image depicts a hand holding a duster with a long, black and orange handle. The duster is being used to clean a surface, likely a ceiling or high wall, as indicated by the angle of the duster and the presence of dust particles being dislodged. The dust particles are shown in motion, suggesting that the duster is actively being used to remove dirt or debris from the surface. The background is plain white, which helps to emphasize the action taking place.",54879908369.png,"The image depicts a person wearing knee pads and hiking shoes. The knee pads are black with orange accents and have adjustable straps for securing them in place. The person is also wearing short pants and socks, and the hiking shoes are brown with orange laces. The overall appearance suggests that the individual is prepared for outdoor activities, possibly involving hiking or other physical exertion.",74852536462.png,"The image depicts a person wearing a black outfit, holding a bowl of honey in one hand and pouring some of the honey onto their other hand. The honey is dripping from the hand into the bowl. The person appears to be in the process of using the honey for a skincare or beauty treatment."
night owl,Train,idiomatic,"It's a constant battle for us, as he is a morning person and I am a night owl, so I find that going to sleep at 9.30 really cuts out the best hours.","['61697797701.png', '93189810779.png', '89375227504.png', '00982495584.png', '93541983868.png']",00982495584.png,"The image depicts a nighttime scene with a large, bright full moon in the background. The moon is prominently positioned in the upper left quadrant of the image, casting a warm, golden light that illuminates the surrounding area. The sky is dark, suggesting it is nighttime, and there are a few small stars scattered across it.\n\nIn the foreground, there is a black owl perched on a branch. The owl has large, round eyes that are glowing orange, giving it a striking and somewhat eerie appearance. Its feathers are detailed, with shades of black and brown, and its talons are visible as it grips the branch firmly. The owl's wings are folded neatly against its body, and it appears to be looking directly at the viewer.\n\nThe branch on which the owl is perched is dark and bare, with no leaves or foliage. It extends diagonally from the bottom left to the top right of the image, creating a sense of depth and perspective. The overall atmosphere of the image is mysterious and somewhat unsettling, enhanced by the contrast between the bright moonlight and the dark surroundings.",61697797701.png,"The image depicts a cartoon-style illustration of a person sitting at a desk, working on a computer. The setting appears to be a cozy, well-lit room with a starry night sky visible through a large circular window behind the desk. The desk is cluttered with various items, including a laptop, a cup of pens and pencils, a cactus plant in a pot, and some books. The person is wearing glasses and is focused on their work. The overall atmosphere is calm and productive.",89375227504.png,"The image depicts a cartoon-style owl perched on a branch of a tree. The owl has large, round eyes and an orange beak. The tree branches are adorned with autumn leaves, which are mostly orange and yellow, indicating the season. In the background, there is a serene landscape featuring a body of water, possibly a lake or pond, with reflections of the trees and sky. The trees in the background are also in shades of orange and yellow, consistent with the autumn theme. The overall scene is peaceful and picturesque, capturing the essence of a calm autumn day.",93189810779.png,"The image depicts a cartoon-style illustration of a young child sitting on a small couch. The child has dark hair and is wearing striped pajamas with orange and white colors. The couch is brown with visible buttons, and the child appears to be in a relaxed or sleepy state, with their eyes closed and a slight smile on their face. The background is plain and white, which helps to focus attention on the child and the couch.",93541983868.png,"The image depicts a dumbbell, which is a common piece of exercise equipment used for strength training. The dumbbell has two large, round weights attached to opposite ends of a central handle. The weights appear to be made of metal and are encased in black rubber or plastic sleeves, which provide a non-slip grip and protect the weights from scratches and damage. The central handle is metallic and has a textured surface for better grip. The overall design suggests that it is intended for use in weightlifting exercises to build muscle strength and endurance."
heart of gold,Train,idiomatic,Even the somewhat seedy failed private eye has a heart of gold (and a bad hairstyle).,"['86137977215.png', '78062290185.png', '54240592941.png', '92088849364.png', '90660547751.png']",54240592941.png,"The image depicts a large, metallic safe with its door open, revealing a gold bar inside. The safe has a robust design with thick walls and reinforced corners, featuring multiple bolts and a circular lock mechanism on the door. The gold bar is prominently displayed, showcasing its shiny, golden surface with embossed markings. The overall appearance suggests a secure and valuable storage solution, likely used for storing precious metals or other high-value items.",78062290185.png,"The image depicts a joyful scene featuring a young boy and his dog. The boy is sitting inside an open cardboard box, which is decorated with snowflakes and stars. He has a big smile on his face, indicating he is excited or happy. The dog, wearing an orange collar with a bell, is jumping towards the boy with its mouth open, as if it is eager to interact with him. The background is plain white, which helps to emphasize the subjects in the foreground. The overall atmosphere of the image is cheerful and playful, suggesting a moment of joy and companionship between the boy and his dog.",86137977215.png,"The image depicts a cartoon scene where a young boy is feeding a group of puppies. The boy, who has brown hair and is wearing an orange shirt and brown shorts, is holding a bowl filled with food. There are four puppies in the scene: one brown puppy standing close to the boy, two black and white puppies standing next to each other, and another brown puppy standing slightly behind them. Each puppy has a bowl of food in front of it on the ground. The background shows a simple, plain wall with a door on the left side and a stone pillar on the right side. The overall setting appears to be indoors, possibly in a garage or a similar area.",90660547751.png,"The image depicts a futuristic, stylized spacecraft with a sleek, aerodynamic design. The main body of the spacecraft is white with orange accents and various panels and buttons. It has a large, rounded front section with a prominent window, suggesting it is designed for observation or communication. The side panels feature multiple control panels and lights, indicating advanced technology and functionality. The rear of the spacecraft has several thrusters, likely for propulsion and maneuverability. The overall design suggests a blend of science fiction and modern engineering aesthetics.",92088849364.png,"The image depicts a stylized, artistic representation of a human heart. The heart is rendered in a glossy, golden-orange color with a smooth, reflective surface. It features intricate details such as the coronary arteries and veins, which are depicted in a darker shade of orange and black, respectively. The heart also has small, sparkling gemstones embedded in various locations, adding a decorative and luxurious touch. The overall design combines elements of realism with a fantastical, embellished aesthetic."
agony aunt,Sample,idiomatic,"ESA's Space Weather Office is like Europe's stellar agony aunt, offering forecasts, advice and information for any organisation, individual or institution vulnerable to space phenomena.","['83600499282.png', '57658144685.png', '02512838127.png', '32964421720.png', '92533456778.png']",02512838127.png,"The image depicts a serene outdoor scene featuring a woman and two children in a garden setting. The woman, who has brown hair tied up in a bun, is standing to the right side of the image. She is wearing a long-sleeved dark-colored top and black pants, along with high-heeled shoes. Her expression appears to be one of gentle guidance or supervision as she watches over the children.\n\nThe two children, who also have brown hair, are standing close to each other in the center of the image. They are both dressed in orange shirts and black pants. One child is slightly ahead of the other, and they seem to be engaged in some form of play or interaction, possibly holding hands or playing together.\n\nIn the background, there is a small tree with green leaves and orange flowers. The tree is situated on the left side of the image. The ground around the tree and the children is covered with grass and small rocks, adding to the natural feel of the scene. There are also several orange flowers scattered around the area, enhancing the vibrant and lively atmosphere of the garden.\n\nAdditionally, there is a butterfly flying near the top right corner of the image, adding a touch of whimsy and movement to the scene. The overall mood of the image is warm and nurturing, suggesting a moment of connection and care between the woman and the children.",32964421720.png,"The image depicts a cartoon-style illustration of a woman lying in bed, appearing distressed or in pain. She has a bloodstain on her face and is wearing a white shirt. The bed has a brown headboard and is covered with a brown blanket. The woman's expression and body language suggest she is experiencing discomfort or distress.",57658144685.png,"The image depicts a scene of a person sitting at a desk, engaged in writing or typing on an old-fashioned typewriter. The individual is wearing glasses and has their hair tied back in a bun. They are dressed in a light-colored sweater over a brown top, and they appear to be focused on the task at hand.\n\nThe desk is cluttered with numerous books, both stacked and scattered around. The books vary in size and color, suggesting a diverse collection. Some books are tied together with ribbons or strings, indicating they might be part of a series or collected set. The books are predominantly placed on the lower half of the desk, while the upper half is occupied by the typewriter and some additional books.\n\nTo the right of the typewriter, there is a small desk lamp with a classic design, featuring a metal base and a bell-shaped shade. The lamp is turned off, but its presence adds to the vintage ambiance of the setting.\n\nBehind the person, there is another stack of books, neatly arranged in a pile. This stack is slightly taller than the one on the desk, and it appears to be organized in a somewhat orderly fashion.\n\nThe overall atmosphere of the image suggests a dedicated workspace, possibly belonging to someone who enjoys reading and writing. The presence of the typewriter indicates a preference for traditional methods of writing, which could imply a connection to literature, history, or academia.\n\nIn summary, the image portrays a person at a desk surrounded by a large number of books, using a typewriter, with a vintage desk lamp nearby. The scene conveys a sense of intellectual engagement and a love for literature.",83600499282.png,"The image depicts a person sitting at a desk, engaged in writing or typing. The individual is holding a pencil and appears to be focused on the task at hand. The desk is cluttered with various items, including a typewriter, several envelopes, a stack of papers, and a cup filled with writing utensils such as pencils and pens. The person is wearing a white blouse and has their hair tied up in a bun. The setting suggests a workspace or an office environment, possibly from a bygone era given the presence of the typewriter.",92533456778.png,"The image depicts a cartoon character of a woman dressed in professional attire, holding a microphone. She is wearing a brown suit with a white shirt and an orange tie. The character has brown hair styled in a bob cut and is standing with one hand on her hip and the other holding the microphone. The background is plain white, emphasizing the character."
shrinking violet,Train,idiomatic,"This aged, rich wine is no shrinking violet with its with peppery, meaty focus and its broad yet tannic palatal impressions.","['77861539717.png', '68016869942.png', '11844321898.png', '45394842176.png', '97482048489.png']",11844321898.png,"The image depicts a bouquet of purple tulips arranged in a clear, round glass vase. The tulips have vibrant, slightly ruffled petals and are accompanied by long, green stems and leaves that exhibit a slight sheen, indicating freshness. The leaves are elongated with pointed tips and have a few small white spots scattered across their surface. The vase is transparent, allowing the stems to be visible, and it sits on a flat surface. The background is plain and white, which helps to highlight the colors and details of the flowers and vase. The overall composition is simple yet elegant, showcasing the natural beauty of the tulips.",45394842176.png,"The image depicts a magnifying glass, commonly used for inspecting small objects closely. The magnifying glass is held in such a way that it is focused on a small patch of grass and flowers. The grass appears lush and green, indicating a healthy environment. Within the grass, there are several purple pansies with yellow centers. These pansies have vibrant petals and are surrounded by their green leaves. The magnifying glass itself has a black frame and handle, which suggests it is designed for practical use rather than decorative purposes. The background of the image is plain white, which helps to emphasize the details being magnified through the lens.",68016869942.png,"The image depicts a small, cute puppy standing between the legs of a person wearing dark pants and brown boots. The puppy has a white body with brown patches on its ears and face. It is wearing an orange collar. The background features a beige splash pattern, giving the image a casual and artistic feel.",77861539717.png,"The image depicts an animated character with curly, dark hair. The character is wearing a yellow tank top and has their hands clasped together near their mouth, suggesting a gesture of surprise or concern. The background is a plain, textured light gray, which contrasts with the character's dark hair and yellow clothing.",97482048489.png,"The image is a colorful and vibrant illustration of a person dancing. The individual has curly, voluminous hair and is wearing an orange crop top and black shorts. They are surrounded by colorful confetti, adding to the festive and joyful atmosphere of the scene. The person appears to be in mid-dance, with one arm raised and the other bent at the elbow. The overall mood of the image is celebratory and energetic."
green fingers,Train,literal,The toddler ran in and proudly held up a picture of a tree as her green fingers threatened to smear paint on the kitchen walls and cupboards.,"['38213294711.png', '92628846416.png', '88406435457.png', '10027562830.png', '88683770392.png']",10027562830.png,"The image depicts an elderly man engaged in gardening activities. He is crouching down next to a small garden bed, which is enclosed by a wooden fence. The garden bed contains various plants and vegetables, including tomatoes, garlic, and what appears to be young seedlings or small plants. \n\nThe man is wearing a light-colored shirt, brown pants, and a wide-brimmed hat with a small orange decoration on the brim. He has a white beard and glasses, suggesting he might be older. His expression seems focused as he tends to the plants.\n\nIn the background, there is a tree with green leaves, providing some shade over the garden bed. The tree is situated behind the fence, adding a natural element to the scene. The ground around the garden bed is covered with dark soil, indicating that it is actively being cultivated.\n\nThere are several tomatoes visible in the garden bed, some of which are already fully grown while others are still small and green. Garlic bulbs are also present, identifiable by their distinct shape and size. Additionally, there are young seedlings or small plants emerging from the soil, showing signs of growth.\n\nThe overall scene conveys a sense of tranquility and diligence, highlighting the man's commitment to his gardening hobby. The presence of the fence suggests that the garden is well-maintained and possibly part of a larger garden or backyard area.\n\nThis detailed description should provide a comprehensive understanding of the image for any text-based model to answer related questions.",38213294711.png,"The image depicts a cartoon-style illustration of a young girl with brown hair tied back in a ponytail. She is wearing overalls and has paint splatters on her hands, face, and clothing. The paint appears to be green and orange, suggesting she might have been involved in some form of creative activity or playtime. Her expression is cheerful and enthusiastic, with wide eyes and a big smile, indicating she is enjoying herself. The background is plain white, which helps to focus attention on the girl and her colorful paint splatters.",88406435457.png,"The image depicts an elderly man with gray hair and a mustache, wearing a light-colored shirt and dark pants. He is standing next to a potted plant, which appears to be a small palm tree or similar type of plant. The man is holding a watering can in his right hand and a smaller container in his left hand. He is in the process of watering the plant, pouring water from the watering can onto the soil in the pot. The background is plain and white, focusing attention on the man and the plant. The overall scene suggests a nurturing activity, possibly related to gardening or plant care.",88683770392.png,"The image depicts an elderly man playing the piano. He is seated on a black stool with orange accents, positioned in front of a large, dark-colored grand piano. The piano has a shiny, reflective surface and is placed on a raised platform. The man is dressed in a formal suit with a red tie, and he appears to be focused on playing the instrument. The background is plain white, which helps to emphasize the subject and the piano. The overall scene suggests a classical music performance or practice session.",92628846416.png,"The image depicts a close-up of a human hand with the palm facing upwards and fingers slightly curled. The hand appears to be of a light skin tone, and it is holding a small object that is not visible in the image. The nails on the fingers are painted with a glossy, dark green nail polish. The lighting in the image is soft, creating subtle shadows and highlights on the hand, which gives it a realistic appearance. The background is plain and white, ensuring that the focus remains solely on the hand and its details. There are no other objects or elements present in the image."
ancient history,Train,literal,"This course will suit anyone fascinated by Greece and Rome, who recognises the continuing influence of ancient history on the modern world.","['97760341223.png', '89162981347.png', '91744816929.png', '80235397834.png', '20677180119.png']",20677180119.png,"The image depicts an old, rusted car parked on a street. The car appears to be vintage, possibly from the mid-20th century, given its design and style. It has a two-tone color scheme with the front half painted in a dark color, likely black or dark gray, and the rear half in a lighter shade, possibly beige or light brown. The car\'s paint is heavily rusted, indicating it has been exposed to the elements for a long time.\n\nThe car\'s body shows significant wear and tear, with visible rust patches and dents. The rear bumper is particularly damaged, with parts of it missing and the remaining parts appearing to be held together by wires or straps. The license plate is also rusted and partially obscured, but the numbers ""3944C6"" can be discerned.\n\nThere is some greenery growing around the car, particularly on the right side where the car is parked. This suggests that the car has been abandoned for a considerable period, allowing nature to reclaim some of the space around it. There are also some small plants and grasses growing near the car, adding to the sense of decay and abandonment.\n\nIn the background, there is a tree with green leaves, indicating that the scene is set outdoors during a season when trees are in full leaf, such as spring or summer. The sky is not visible, but the lighting suggests it is daytime.\n\nThe street where the car is parked is paved and appears to be in decent condition, with no visible cracks or damage. There are a few small rocks scattered on the ground near the car, which might have been dislodged by the car\'s movement or weather conditions.\n\nOverall, the image conveys a sense of neglect and abandonment, highlighting the contrast between the once-functional vehicle and the natural processes of decay and growth.",80235397834.png,"The image depicts a person standing in front of a framed painting. The painting features a stylized, somewhat abstract scene with a tree and two silhouetted figures holding hands. The tree has branches that extend outward, adorned with leaves that appear to be in shades of orange and red, suggesting an autumnal theme. Butterflies are also depicted flying around the tree, adding a whimsical touch to the artwork.\n\nThe person in the image is facing away from the viewer, looking at the painting. They have short, dark hair and are wearing a dark-colored shirt. The background of the painting is a mix of light and dark tones, creating a contrast that highlights the figures and the tree. The overall style of the painting is artistic and evocative, with a blend of natural elements and human interaction. The frame of the painting is ornate, adding to the aesthetic appeal of the piece.",89162981347.png,"The image depicts a stylized, cartoonish desk calendar. The calendar is designed with a brown and black base, featuring a white page with a grid of dates. The dates are numbered from 1 to 31, indicating the days of the month. \n\nAt the top of the calendar, there is a spiral binding mechanism, suggesting that it can be flipped through like a book. The calendar page is decorated with small, whimsical illustrations of orange and yellow characters or objects, which appear to be playful and cheerful. These characters are positioned around the edges of the calendar page, adding a touch of fun and personality to the design.\n\nOn the right side of the calendar, there is a small cloud-like shape with a light blue gradient, possibly representing a thought bubble or an idea. This element adds a sense of creativity and imagination to the overall aesthetic of the calendar.\n\nThe calendar is placed on a black stand with four small legs, providing stability and a sturdy base for the calendar to sit on. The stand also has a slight curve at the front, giving it a modern and sleek appearance.\n\nOverall, the calendar combines functionality with a playful and imaginative design, making it suitable for both practical use and as a decorative item on a desk.",91744816929.png,"The image depicts two individuals sitting on a wooden bench in what appears to be a park or garden setting during autumn. The bench is positioned in front of a tree with orange and red leaves, indicating the fall season. The tree has a slender trunk and branches extending outward, covered in vibrant foliage.\n\nSurrounding the bench, there is lush green grass and various plants, including small bushes and flowers. The ground around the bench is covered with fallen leaves, further emphasizing the autumn theme. A few butterflies can be seen flying around, adding a touch of liveliness to the scene.\n\nThe individuals are facing away from the viewer, sitting side by side on the bench. They appear to be engaged in conversation or simply enjoying the peaceful environment. The person on the left is wearing a brown shirt and dark pants, while the person on the right is dressed in a white shirt and light-colored pants. Both individuals have short hair and are standing upright, suggesting a relaxed posture.\n\nThe overall atmosphere of the image is serene and inviting, capturing a moment of tranquility and companionship amidst the beauty of nature. The use of warm colors for the leaves and butterflies enhances the autumnal ambiance, creating a visually appealing and harmonious composition.",97760341223.png,"The image depicts a scene set in what appears to be an ancient Roman or Greek courtyard. The setting is characterized by several key elements:\n\n1. **Buildings and Structures**:\n   - **Foreground**: There is a large, two-story building with a red-tiled roof on the right side of the image. The building has a classical architectural style with columns supporting an overhanging roof.\n   - **Middle Ground**: A smaller building with a simpler design is visible in the background. This structure has a flat roof and appears to be made of stone.\n   - **Background**: Additional buildings can be seen, some of which have balconies and windows.\n\n2. **Pathway and Ground**:\n   - The ground is paved with large, irregularly shaped stones, giving it an ancient appearance.\n   - There are patches of grass and small plants growing through the cracks in the pavement.\n\n3. **People**:\n   - Three individuals are present in the image. Two of them are standing near the left side of the courtyard, dressed in traditional robes that resemble those worn during the Roman era. One of them is holding a shield, suggesting he might be a soldier or a guard.\n   - The third person is standing closer to the center-right of the image, also dressed in a robe and engaged in conversation with the other two individuals.\n\n4. **Furniture and Decorations**:\n   - There are several large pots and vases placed around the courtyard, adding to the classical aesthetic.\n   - A tree with green foliage stands prominently in the middle of the courtyard, providing shade and a touch of nature.\n\n5. **Additional Details**:\n   - The walls of the buildings show signs of wear and age, with some areas appearing cracked and peeling.\n   - There are various small plants and shrubs scattered throughout the courtyard, contributing to the overall greenery.\n\n### Analysis and Description\n\nThis image captures a serene and historical scene reminiscent of ancient Roman or Greek times. The architectural elements, such as the columns, the red-tiled roofs, and the stone-paved pathway, are indicative of classical architecture. The presence of individuals dressed in traditional robes and the use of shields suggest a military or protective context, possibly indicating a guard or soldiers stationed in the area.\n\nThe combination of natural elements like trees and plants with the man-made structures creates a balanced and harmonious environment. The scene likely represents a moment of daily life in a historical setting, where individuals interact within a structured and"
banana republic,Train,idiomatic,"They are a boogeyman he scares you with while he colludes with your enemies, turns your country into a banana republic and uses the office to enrich himself.","['09384622843.png', '14331448769.png', '42960735833.png', '59540059198.png', '54445954523.png']",09384622843.png,"The image depicts two cartoon characters engaged in an exchange of money. The character on the left is dressed in a light gray suit with a red tie and black shoes, wearing sunglasses and has a mustache. This character is extending their hand forward, holding out a banknote. The character on the right is dressed in a dark military uniform with gold epaulets, medals, and a red tie. This character is also wearing sunglasses and has a stern expression. The background is plain white, emphasizing the interaction between the two characters.",14331448769.png,"The image depicts a cartoon character standing behind a podium on a raised platform. The podium has a seal with an emblem, which appears to be the presidential seal of the United States. The character is dressed in a suit and tie, suggesting a formal or official setting. The character's hands are raised, indicating they are speaking or presenting. The overall scene suggests a public address or speech being given from a podium.",42960735833.png,"The image depicts a banana split, a classic dessert that typically consists of a banana split open lengthwise and topped with various ice cream flavors, whipped cream, cherries, nuts, and other toppings. Here is a detailed description of the elements present in the image:\n\n1. **Banana**: The image shows a whole banana on the left side of the bowl. The banana is yellow with a brown stem at the top.\n\n2. **Bowl**: The banana split is served in a clear glass bowl. The bowl has a wide rim and a slightly curved shape, designed to hold the banana and the toppings.\n\n3. **Whipped Cream**: There are four dollops of whipped cream placed on top of the banana slices. Each dollop is topped with a cherry.\n\n4. **Cherries**: Each dollop of whipped cream is garnished with a red cherry. The cherries have stems and are placed upright on the whipped cream.\n\n5. **Chocolate Sauce**: A drizzle of chocolate sauce is spread over the whipped cream and banana slices. The chocolate sauce appears to be smooth and glossy, adding a rich, dark contrast to the lighter colors of the whipped cream and banana.\n\n6. **Banana Slices**: The banana is cut into two halves, each half being placed in the bowl. The inside of the banana is visible, showing the yellow flesh.\n\n7. **Nuts**: Small pieces of chopped nuts are scattered around the whipped cream and chocolate sauce, adding texture and a crunchy element to the dessert.\n\n8. **Background**: The background of the image is plain white, which helps to highlight the vibrant colors of the dessert.\n\n### Analysis\n\nThis banana split is a popular dessert known for its combination of sweet and creamy flavors. The use of whipped cream, cherries, and chocolate sauce is typical, providing a balance of sweetness and richness. The banana adds a natural sweetness and a slight crunch from the nut topping. This dessert is often enjoyed as a treat after a meal or as a special occasion dessert due to its indulgent nature.\n\n### Answering Potential Questions\n\n**Q: What is the main ingredient in this dessert?**\nA: The main ingredient in this dessert is a banana, which is split lengthwise and used as the base for the dish.\n\n**Q: What toppings are commonly used in a banana split?**\nA: Common toppings for a banana split include whipped cream, cherries, chocolate sauce, and chopped nuts.\n\n**Q: How is",54445954523.png,"The image depicts a cartoon-style scene involving a house and firefighters. The house is a two-story structure with a chimney on the roof, which is emitting smoke. The house has a brown exterior with white trim around the windows and doors. There are three visible windows on each floor, and the ground floor has a door.\n\nOn the roof of the house, there is a figure wearing a firefighter's uniform and helmet, standing near the chimney. This character appears to be inspecting or addressing the smoke coming from the chimney. \n\nIn front of the house, there is an orange fire truck parked on the street. The fire truck has a ladder extended towards the second floor of the house, indicating that it is being used for rescue operations. There are two firefighters on the fire truck; one is standing on the ladder, while the other is inside the truck, possibly operating the equipment or communicating with the others.\n\nTo the left of the fire truck, there is another firefighter standing on the ground. This character is also wearing a firefighter's uniform and helmet and appears to be observing the situation or preparing to assist.\n\nIn the background, there are two trees with green foliage, adding a touch of nature to the scene. The overall setting suggests a typical emergency response scenario where firefighters are dealing with a potential fire or smoke issue in a residential building.",59540059198.png,"The image depicts an animated character that resembles a squash or pumpkin. The character has a round, orange body with a green stem at the top. It is wearing a brown hat with a feather on it and has a white scarf wrapped around its neck. The character also has a black belt with a gold buckle and brown shoes. It has large, round glasses and a mustache. In its right hand, the character is holding a scroll of parchment paper with handwritten text on it. The background is plain white, which makes the character stand out prominently."
devil's advocate,Train,literal,"The manga follows Hinata, who gives up his job as the Devil's advocate and abandons the afterlife to pursue his dream of opening an American diner.","['45875492932.png', '77995675587.png', '86883605636.png', '95645261777.png', '11847407637.png']",11847407637.png,"The image depicts a cartoon character of a woman dressed in a uniform. She has short brown hair styled in a ponytail and is wearing a white polo shirt with black trim around the collar and sleeves. The shirt features an orange logo on the left side of the chest. She is also wearing black pants with orange stripes running down the sides, black boots, and black shoes. The character has a confident stance with one hand on her hip.",45875492932.png,"The image depicts a cartoon-style scene involving three characters in an office setting. \n\n1. **Character on the Left**: This character is a red devil with large horns, a small tail, and a menacing expression. The devil is standing with one hand on its hip, looking angry or frustrated.\n\n2. **Character in the Middle**: This character is a woman with blonde hair, wearing a black suit and a red tie. She is sitting behind a desk, with her arms crossed, appearing to be in a state of concern or frustration. There is a laptop on the desk in front of her.\n\n3. **Character on the Right**: This character is a man with dark hair, wearing a black suit and a red tie. He is seated in a chair, gesturing with his hands as if he is explaining something or making a point. His expression suggests he is trying to communicate effectively.\n\nThe overall scene seems to depict a tense or challenging conversation between these three characters, possibly in a professional or business context. The devil's presence adds a humorous or exaggerated element to the situation.",77995675587.png,"The image depicts a cartoon scene involving three characters: a man in a striped shirt and black pants, a woman in a black suit, and a person sitting behind a desk. The man in the striped shirt is standing to the left of the desk, while the woman in the black suit is seated on the right side of the desk. The person sitting behind the desk appears to be a judge or an official, as indicated by the gavel on the desk. The setting suggests a formal or legal context, possibly a courtroom or an office environment.",86883605636.png,"The image depicts two individuals engaged in what appears to be an interview or conversation. The person on the left is seated on a chair, wearing a bright orange blazer over a white shirt and black skirt, paired with black high heels. This individual has shoulder-length brown hair and is smiling, with their hands gesturing as if explaining something.\n\nThe person on the right stands holding a microphone, dressed in a dark suit with a white shirt and a yellow tie. They have short brown hair and are also smiling, looking towards the seated individual. The background is plain white, and both individuals are positioned on a gray platform, suggesting they might be on a stage or set designed for interviews or presentations.",95645261777.png,"The image depicts four women standing in a line, each holding a piece of cardboard. They are dressed in matching outfits consisting of orange tops and black pants. The women appear to be engaged in a collaborative activity, possibly discussing or presenting something on the cardboard. The background is plain white, which helps to focus attention on the subjects."
private eye,Train,idiomatic,"If you want dirt, the private eye suggested, you should steal the man's garbage.","['86990947307.png', '66264001169.png', '95762945875.png', '42541218123.png', '37448041335.png']",37448041335.png,"The image depicts a walking cane or a similar type of stick. The cane has a curved top, which is orange in color and appears to be made of a material that resembles wood or leather. The handle of the cane is wrapped in black material, possibly leather or another textured fabric, giving it a rugged appearance. Near the middle of the cane, there is a decorative section with a pattern that includes small, colorful elements, possibly beads or stones, arranged in a circular design. This decorative section adds an artistic touch to the otherwise utilitarian object. The cane stands upright against a plain white background, emphasizing its design and details.",42541218123.png,"The image depicts a person wearing a black short-sleeved top and black pants. The individual has long, dark hair and is covering their face with both hands. The background is plain and white.",66264001169.png,"The image depicts two police officers standing side by side, facing to the right. Both officers are dressed in standard police uniforms, which include brown shirts and pants, black caps with badges, and black shoes. They each have utility belts with various pouches and equipment attached. The officers also have patches on their shirts, one of which appears to be a badge or emblem. The background is plain and white, emphasizing the details of the uniforms and equipment.",86990947307.png,"The image depicts two cartoon characters engaged in a transaction. The character on the left is wearing a brown suit, a white shirt, and a brown hat with a wide brim. He has a confident expression and is handing over a green banknote to the other character. The character on the right is also dressed in a brown suit and a white shirt, but he is bald and wears glasses. He is receiving the banknote with a neutral or slightly skeptical expression. Both characters have orange ties, and the scene appears to be set against a plain background.",95762945875.png,"The image depicts a cartoon illustration of an eye examination scene. On the left side, there is a person with orange hair sitting on an orange chair. This person is wearing a white lab coat and black pants. They are looking through a large, black, and red device that resembles an eye examination machine or a microscope.\n\nOn the right side of the image, there is another person with long dark hair, wearing a light-colored blouse and black pants. This person appears to be assisting the first individual, possibly adjusting the device or providing support during the examination. The background is plain white, which helps to focus attention on the characters and the equipment."
